iteration,seed,active_regimes,block_size,max_components,weight_threshold,alpha_prior,master_seed
1,3444837047,3,120,10,0.05,0.1,42
2,2669555309,5,120,10,0.05,0.1,42
3,2046530742,4,120,10,0.05,0.1,42
4,3581440988,7,120,10,0.05,0.1,42
5,1691623607,8,120,10,0.05,0.1,42
6,2099784219,6,120,10,0.05,0.1,42
7,1184028159,5,120,10,0.05,0.1,42
8,862288241,5,120,10,0.05,0.1,42
9,1333843299,5,120,10,0.05,0.1,42
10,2170464109,5,120,10,0.05,0.1,42
11,2705014006,7,120,10,0.05,0.1,42
12,2468990893,4,120,10,0.05,0.1,42
13,3915829765,4,120,10,0.05,0.1,42
14,3957024168,6,120,10,0.05,0.1,42
15,2128606514,6,120,10,0.05,0.1,42
16,1741519417,6,120,10,0.05,0.1,42
17,2996663166,5,120,10,0.05,0.1,42
18,4178181242,5,120,10,0.05,0.1,42
19,563021890,6,120,10,0.05,0.1,42
20,3657378459,6,120,10,0.05,0.1,42
21,2422051390,7,120,10,0.05,0.1,42
22,2436567560,5,120,10,0.05,0.1,42
23,3928734150,7,120,10,0.05,0.1,42
24,2218688234,4,120,10,0.05,0.1,42
25,3560217815,4,120,10,0.05,0.1,42
26,3310747494,4,120,10,0.05,0.1,42
27,2493935339,4,120,10,0.05,0.1,42
28,408731928,2,120,10,0.05,0.1,42
29,348619172,6,120,10,0.05,0.1,42
30,110273505,5,120,10,0.05,0.1,42
31,1255089826,4,120,10,0.05,0.1,42
32,2836725664,4,120,10,0.05,0.1,42
33,1627962091,3,120,10,0.05,0.1,42
34,2657689626,5,120,10,0.05,0.1,42
35,1695213383,3,120,10,0.05,0.1,42
36,1727344081,7,120,10,0.05,0.1,42
37,4206876380,7,120,10,0.05,0.1,42
38,3077688642,6,120,10,0.05,0.1,42
39,1164341515,5,120,10,0.05,0.1,42
40,1245605034,3,120,10,0.05,0.1,42
41,2571176866,6,120,10,0.05,0.1,42
42,4040197091,7,120,10,0.05,0.1,42
43,3168783890,5,120,10,0.05,0.1,42
44,781950879,3,120,10,0.05,0.1,42
45,3549786358,6,120,10,0.05,0.1,42
46,2245842095,5,120,10,0.05,0.1,42
47,4066352818,6,120,10,0.05,0.1,42
48,3576043346,5,120,10,0.05,0.1,42
49,1297446070,3,120,10,0.05,0.1,42
50,1493011086,6,120,10,0.05,0.1,42
51,2886620867,5,120,10,0.05,0.1,42
52,3132050763,5,120,10,0.05,0.1,42
53,3945348426,4,120,10,0.05,0.1,42
54,666288517,4,120,10,0.05,0.1,42
55,3097084020,6,120,10,0.05,0.1,42
56,509847863,5,120,10,0.05,0.1,42
57,2681697076,3,120,10,0.05,0.1,42
58,1812556602,6,120,10,0.05,0.1,42
59,1386174930,5,120,10,0.05,0.1,42
60,997242548,7,120,10,0.05,0.1,42
61,1893690812,5,120,10,0.05,0.1,42
62,3707891570,7,120,10,0.05,0.1,42
63,3489956201,8,120,10,0.05,0.1,42
64,3043669598,4,120,10,0.05,0.1,42
65,625964716,5,120,10,0.05,0.1,42
66,1655317465,5,120,10,0.05,0.1,42
67,2879732968,4,120,10,0.05,0.1,42
68,743359466,5,120,10,0.05,0.1,42
69,3738036910,5,120,10,0.05,0.1,42
70,3779610235,7,120,10,0.05,0.1,42
71,943300948,3,120,10,0.05,0.1,42
72,1747512124,3,120,10,0.05,0.1,42
73,2082531011,6,120,10,0.05,0.1,42
74,3047621524,4,120,10,0.05,0.1,42
75,1854712129,5,120,10,0.05,0.1,42
76,1314933732,3,120,10,0.05,0.1,42
77,2365913703,6,120,10,0.05,0.1,42
78,45047004,3,120,10,0.05,0.1,42
79,1777465372,7,120,10,0.05,0.1,42
80,952038986,3,120,10,0.05,0.1,42
81,906456036,3,120,10,0.05,0.1,42
82,3667054561,3,120,10,0.05,0.1,42
83,4224955422,4,120,10,0.05,0.1,42
84,3772832900,5,120,10,0.05,0.1,42
85,3010194696,3,120,10,0.05,0.1,42
86,2139286705,9,120,10,0.05,0.1,42
87,2198559462,5,120,10,0.05,0.1,42
88,34107868,3,120,10,0.05,0.1,42
