,Prob_Regime0,Prob_Regime1,Prob_Regime2,Regime_Candidate,Regime,Regime_Name
1990-01-31,1.0,0.0,0.0,0,0,Defensive
1990-02-28,1.0,0.0,0.0,0,0,Defensive
1990-03-31,0.2,0.0,0.8,2,2,Growth
1990-04-30,0.1,0.0,0.9,2,2,Growth
1990-05-31,0.05,0.0,0.95,2,2,Growth
1990-06-30,0.025,0.0,0.975,2,2,Growth
1990-07-31,0.0125,0.0,0.9875,2,2,Growth
1990-08-31,0.00625,0.0,0.99375,2,2,Growth
1990-09-30,0.003125,0.0,0.996875,2,2,Growth
1990-10-31,0.0015625,0.0,0.9984375,2,2,Growth
1990-11-30,0.00078125,0.8,0.19921875,1,1,Inflation
1990-12-31,0.800390625,0.1,0.099609375,0,0,Defensive
1991-01-31,0.9001953125,0.05,0.0498046875,0,0,Defensive
1991-02-28,0.15009765625000002,0.825,0.02490234375,1,1,Inflation
1991-03-31,0.875048828125,0.1125,0.012451171875,0,0,Defensive
1991-04-30,0.9375244140625,0.05625,0.0062255859375,0,0,Defensive
1991-05-31,0.96876220703125,0.028125,0.00311279296875,0,0,Defensive
1991-06-30,0.984381103515625,0.0140625,0.001556396484375,0,0,Defensive
1991-07-31,0.9921905517578125,0.00703125,0.0007781982421875,0,0,Defensive
1991-08-31,0.9960952758789062,0.003515625,0.00038909912109375,0,0,Defensive
1991-09-30,0.9980476379394532,0.0017578125,0.000194549560546875,0,0,Defensive
1991-10-31,0.9990238189697266,0.00087890625,9.72747802734375e-05,0,0,Defensive
1991-11-30,0.1995119094848633,0.000439453125,0.8000486373901368,2,2,Growth
1991-12-31,0.8997559547424316,0.0002197265625,0.10002431869506836,0,0,Defensive
1992-01-31,0.9498779773712158,0.00010986328125,0.05001215934753418,0,0,Defensive
1992-02-29,0.9749389886856079,5.4931640625e-05,0.02500607967376709,0,0,Defensive
1992-03-31,0.987469494342804,2.74658203125e-05,0.012503039836883546,0,0,Defensive
1992-04-30,0.9937347471288561,1.3732952702141596e-05,0.0062515199184417815,0,0,Defensive
1992-05-31,0.9968673735803827,6.866460396361448e-06,0.003125759959220887,0,0,Defensive
1992-06-30,0.19843368679019133,3.433230198180724e-06,0.8015628799796105,2,2,Growth
1992-07-31,0.8992168394184284,1.7166150990903624e-06,0.10078144396647254,0,0,Defensive
1992-08-31,0.9496084212004644,8.583075495451809e-07,0.05039072049198602,0,0,Defensive
1992-09-30,0.9748042106002323,4.291537747725905e-07,0.025195360245993014,0,0,Defensive
1992-10-31,0.1874021053001161,2.1457688738629522e-07,0.8125976801229965,2,2,Growth
1992-11-30,0.8937010526500581,1.0728844369314762e-07,0.10629884006149827,0,0,Defensive
1992-12-31,0.146850526325029,5.3644221846573804e-08,0.8531494200307491,2,2,Growth
1993-01-31,0.0734252631625145,2.6822110923286902e-08,0.9265747100153746,2,2,Growth
1993-02-28,0.8367126315812572,1.3411055461643451e-08,0.16328735500768732,0,0,Defensive
1993-03-31,0.11835631579062862,6.7055277308217255e-09,0.8816436775038436,2,2,Growth
1993-04-30,0.8591781578953144,3.3527638654108627e-09,0.14082183875192184,0,0,Defensive
1993-05-31,0.9295890789476572,1.6763819327054314e-09,0.07041091937596092,0,0,Defensive
1993-06-30,0.1647945394738286,8.381909663527157e-10,0.8352054596879804,2,2,Growth
1993-07-31,0.0823972697369143,4.1909548317635784e-10,0.9176027298439903,2,2,Growth
1993-08-31,0.04119863486845715,2.0954774158817892e-10,0.9588013649219951,2,2,Growth
1993-09-30,0.020599317434228576,1.0477387079408946e-10,0.9794006824609975,2,2,Growth
1993-10-31,0.010299658717114288,5.238693539704473e-11,0.9897003412304988,2,2,Growth
1993-11-30,0.005149829358557144,2.6193467698522365e-11,0.9948501706152494,2,2,Growth
1993-12-31,0.002574914679278572,1.3096733849261183e-11,0.9974250853076247,2,2,Growth
1994-01-31,0.001287457339639286,6.548366924630591e-12,0.9987125426538124,2,2,Growth
1994-02-28,0.008443113031318969,3.2741834623152977e-12,0.9915568869654069,2,2,Growth
1994-03-31,0.0012967873800972367,1.637091731157648e-12,0.9987032126182657,2,2,Growth
1994-04-30,0.0006483936900486183,8.18545865578824e-13,0.9993516063091329,2,2,Growth
1994-05-31,0.0003241968450243091,4.0927293278941196e-13,0.9996758031545664,2,2,Growth
