,Prob_Regime0,Prob_Regime1,Prob_Regime2,Prob_Regime3,Regime_Candidate,Regime,Regime_Name
1990-01-31,0.0,1.0,0.0,0.0,1,1,Inflation
1990-02-28,0.0,1.0,0.0,0.0,1,1,Inflation
1990-03-31,0.0,1.0,0.0,0.0,1,1,Inflation
1990-04-30,0.799998355720651,0.20000000000000082,1.6442793482015493e-06,0.0,0,0,Crisis
1990-05-31,0.09999979446508103,0.10000000000000006,0.8000002055349189,0.0,2,2,Steady State
1990-06-30,0.0499998972325405,0.05000000000000002,0.9000001027674595,5.0036696e-317,2,2,Steady State
1990-07-31,0.024999948616270244,0.8175406819178828,0.15000005138372963,0.007459318082117457,1,1,Inflation
1990-08-31,0.012499974308135122,0.11156758523973537,0.8750000256918649,0.0009324147602646822,2,2,Steady State
1990-09-30,0.006249987154067561,0.8557837926198677,0.1375000128459324,0.0004662073801323411,1,1,Inflation
1990-10-31,0.003124993577033781,0.1278918963099339,0.8687500064229663,0.00023310369006617057,2,2,Steady State
1990-11-30,0.0015624967885168903,0.863945948154967,0.1343750032114831,0.00011655184503308527,1,1,Inflation
1990-12-31,0.0007812483942584451,0.13197297407748346,0.8671875016057415,5.8275922516542635e-05,2,2,Steady State
1991-01-31,0.00039062419712922257,0.06598648703874173,0.9335937508028708,2.9137961258271318e-05,2,2,Steady State
1991-02-28,0.00019531209856461128,0.032993243519370864,0.1667968754014354,0.8000145689806292,3,3,Walking on Ice
1991-03-31,9.765604928230565e-05,0.016496621759685436,0.8833984377007177,0.1000072844903146,2,2,Steady State
1991-04-30,4.8828024641167024e-05,0.008248310879842716,0.14169921885035883,0.8500036422451573,3,3,Walking on Ice
1991-05-31,2.4414012320578186e-05,0.004124155439921358,0.8708496094251794,0.12500182112257865,2,2,Steady State
1991-06-30,1.2207006160289093e-05,0.8020620777199607,0.13542480471258972,0.06250091056128933,1,1,Inflation
1991-07-31,6.103503080144547e-06,0.10103103885998037,0.8677124023562949,0.03125045528064467,2,2,Steady State
1991-08-31,3.0517515400722732e-06,0.05051551942999018,0.9338562011781474,0.015625227640322332,2,2,Steady State
1991-09-30,1.5258757700361366e-06,0.02525775971499509,0.9669281005890737,0.007812613820161166,2,2,Steady State
1991-10-31,7.629378850180683e-07,0.012628879857497544,0.9834640502945369,0.003906306910080583,2,2,Steady State
1991-11-30,3.8146894250903415e-07,0.006314439928748772,0.9917320251472684,0.0019531534550402915,2,2,Steady State
1991-12-31,1.9073447125451708e-07,0.003157219964374386,0.9958660125736343,0.0009765767275201457,2,2,Steady State
1992-01-31,9.536723562725854e-08,0.001578609982187193,0.9979330062868171,0.0004882883637600729,2,2,Steady State
1992-02-29,4.7683617813629276e-08,0.0007893049910935966,0.9989665031434086,0.0002441441818800365,2,2,Steady State
1992-03-31,2.3841808906814634e-08,0.00039465249554679826,0.9994832515717043,0.00012207209094001822,2,2,Steady State
1992-04-30,1.1920904453407314e-08,0.0001973269285929796,0.9997416251050326,6.10360454700091e-05,2,2,Steady State
1992-05-31,5.960452226703659e-09,9.866320898914714e-05,0.19987081280782368,0.800030518022735,3,3,Walking on Ice
1992-06-30,2.9802261133518293e-09,4.933160449457357e-05,0.8999354064039118,0.1000152590113675,2,2,Steady State
1992-07-31,1.4901130566759147e-09,2.4665802247286785e-05,0.9499677032019559,0.05000762950568375,2,2,Steady State
1992-08-31,7.450565283379574e-10,1.2332901123643394e-05,0.974983851600978,0.02500381475284188,2,2,Steady State
1992-09-30,3.7252826416897866e-10,6.166450561821696e-06,0.987491925800489,0.012501907376420937,2,2,Steady State
1992-10-31,1.8626413208448933e-10,3.083225280910848e-06,0.9937459629002445,0.006250953688210469,2,2,Steady State
1992-11-30,9.313206604224467e-11,1.541612640455424e-06,0.9968729814501223,0.0031254768441052344,2,2,Steady State
1992-12-31,4.656603302112233e-11,7.70806320227712e-07,0.9984364907250611,0.0015627384220526172,2,2,Steady State
1993-01-31,2.3283016510561166e-11,3.85403160113856e-07,0.9992182453625306,0.0007813692110263086,2,2,Steady State
1993-02-28,1.1641508255280583e-11,1.92701580056928e-07,0.9996091226812653,0.0003906846055131543,2,2,Steady State
1993-03-31,0.8000000000058208,9.635079002846402e-08,0.19980456134063268,0.00019534230275657717,0,0,Crisis
1993-04-30,0.9000000000029104,4.8175395014232e-08,0.09990228067031633,9.767115137828857e-05,0,0,Crisis
1993-05-31,0.9500000000014552,2.4087697507116e-08,0.04995114033515816,4.883557568914429e-05,0,0,Crisis
1993-06-30,0.1750000000007276,1.2043848753558e-08,0.824975570167579,2.4417787844572143e-05,2,2,Steady State
1993-07-31,0.0875000000003638,6.021924376779e-09,0.9124877850837896,1.2208893922286072e-05,2,2,Steady State
1993-08-31,0.0437500000001819,3.0109621883895e-09,0.9562438925418948,6.104446961143036e-06,2,2,Steady State
1993-09-30,0.02187500000009095,1.50548109419475e-09,0.9781219462709474,3.052223480571518e-06,2,2,Steady State
1993-10-31,0.010937500000045475,7.52740547097375e-10,0.9890609731354737,1.526111740285759e-06,2,2,Steady State
1993-11-30,0.0054687500000227375,3.763702735486875e-10,0.9945304865677369,7.630558701428795e-07,2,2,Steady State
1993-12-31,0.0027343750000113688,1.8818513677434376e-10,0.9972652432838685,3.8152793507143974e-07,2,2,Steady State
1994-01-31,0.0013671875000056844,9.409256838717188e-11,0.9986326216419342,1.9076396753571987e-07,2,2,Steady State
1994-02-28,0.0006835937500028423,0.008068900974714127,0.19931631082096715,0.7919311944543159,3,3,Walking on Ice
1994-03-31,0.0003417968750014211,0.0010086126394816223,0.09965815541048356,0.8989914350750334,3,3,Walking on Ice
1994-04-30,0.00017089843750071058,0.0005043063197408112,0.8498290777052419,0.14949571753751673,2,2,Steady State
1994-05-31,8.544921875035527e-05,0.00025215315987040557,0.9249145388526209,0.07474785876875835,2,2,Steady State
1994-06-30,4.272460937517764e-05,0.00012607657993520278,0.9624572694263105,0.037373929384379175,2,2,Steady State
1994-07-31,0.8000213623046877,6.30382899676014e-05,0.18122863471315526,0.01868696469218959,0,0,Crisis
1994-08-31,0.1000106811523438,3.1519144983800696e-05,0.8906143173565776,0.009343482346094794,2,2,Steady State
1994-09-30,0.0500053405761719,1.5759572491900348e-05,0.1453071586782888,0.8046717411730474,3,3,Walking on Ice
1994-10-31,0.02500267028808593,7.879794605421311e-06,0.07265357933914436,0.9023358705781643,3,3,Walking on Ice
1994-11-30,0.012501335144042974,3.93989416790898e-06,0.0363267896695722,0.951167935292217,3,3,Walking on Ice
1994-12-31,0.006250667572021487,1.96994708395449e-06,0.8181633948347861,0.1755839676461085,2,2,Steady State
1995-01-31,0.003125333786010744,9.849735419772451e-07,0.10908169741739306,0.8877919838230542,3,3,Walking on Ice
1995-02-28,0.0015626668930053718,4.924867709886225e-07,0.05454084870869652,0.9438959919115271,3,3,Walking on Ice
1995-03-31,0.0007813334465026859,2.4624338549431123e-07,0.02727042435434826,0.9719479959557635,3,3,Walking on Ice
1995-04-30,0.00039066672325134295,1.2312169274715562e-07,0.8136352121771742,0.1859739979778818,2,2,Steady State
1995-05-31,0.00019533336162567147,6.156084637357781e-08,0.10681760608858706,0.8929869989889408,3,3,Walking on Ice
1995-06-30,9.766668081283574e-05,3.0780423186788904e-08,0.05340880304429353,0.9464934994944705,3,3,Walking on Ice
1995-07-31,4.883334040641787e-05,1.5390211593394452e-08,0.8267044015221467,0.17324674974723522,2,2,Steady State
1995-08-31,2.4416670203208934e-05,7.695105796697226e-09,0.9133522007610734,0.08662337487361761,2,2,Steady State
1995-09-30,1.2208335101604469e-05,3.847552898348614e-09,0.9566761003805367,0.04331168743680881,2,2,Steady State
1995-10-31,6.1041675508022335e-06,1.9237764491743065e-09,0.9783380501902683,0.021655843718404403,2,2,Steady State
1995-11-30,3.0520837754011168e-06,9.618882245871533e-10,0.9891690250951342,0.010827921859202201,2,2,Steady State
1995-12-31,1.5260418877005584e-06,4.809441122935766e-10,0.9945845125475671,0.005413960929601101,2,2,Steady State
1996-01-31,7.63020943850279e-07,2.4054901958167914e-10,0.9972922562737067,0.00270698046480055,2,2,Steady State
1996-02-29,3.815104719251396e-07,1.202456485027555e-10,0.9986461281368821,0.0013534902324002752,2,2,Steady State
1996-03-31,1.907552359625698e-07,0.7878043327367542,0.21151873139180974,0.0006767451162001376,1,1,Inflation
1996-04-30,9.53776179812849e-08,0.09847554161464034,0.9011859904496416,0.0003383725581000688,2,2,Steady State
1996-05-31,4.768880899064245e-08,0.04923777080732017,0.9505929952248209,0.0001691862790500344,2,2,Steady State
1996-06-30,2.3844404495321225e-08,0.024618885403660085,0.9752964976124104,8.45931395250172e-05,2,2,Steady State
1996-07-31,1.1922202247660612e-08,0.012309442701830042,0.9876482488062053,4.22965697625086e-05,2,2,Steady State
1996-08-31,5.961101123830306e-09,0.006154721350915021,0.9938241244031026,2.11482848812543e-05,2,2,Steady State
1996-09-30,2.980550561915153e-09,0.0030773606754575106,0.9969120622015513,1.057414244062715e-05,2,2,Steady State
