,Prob_Regime0,Prob_Regime1,Prob_Regime2,Prob_Regime3,Prob_Regime4,Regime_Candidate,Regime,Regime_Name
1990-01-31,0.8988948794803413,0.1011051205196586,1.7164899892852104e-61,6.742609766589056e-26,1.0394434575160886e-19,0,0,Crisis
1990-02-28,0.48181140573254766,0.05419306075951523,1.6009246707679e-13,1.1548297559274812e-12,0.46399553350662215,0,0,Crisis
1990-03-31,0.8494066147126522,0.043354041136715094,3.699782406022315e-14,2.675883841181149e-13,0.10723934415032814,0,0,Crisis
1990-04-30,0.7376739422813096,0.036542591506776814,2.959203264036573e-14,2.1736341715940355e-13,0.22578346621166664,0,0,Crisis
1990-05-31,0.4068607508689336,0.028176162279310482,2.3673626128891663e-14,0.46400000000017144,0.10096308685156073,3,3,Walking on Ice
1990-06-30,0.32548860143567615,0.022540931778358027,1.7788149060741327e-09,0.1072000000016066,0.5447704650055444,4,3,Walking on Ice
1990-07-31,0.26039089400784987,0.018032744311564344,4.144546355064119e-06,0.0857600088943393,0.6358122082398915,4,4,Bull Market
1990-08-31,0.6723127076500511,0.014426195448594838,9.577669559250187e-07,0.06860800205515474,0.24465213707924346,0,0,Crisis
1990-09-30,0.7378501661200408,0.011540956358875872,7.662135647400148e-07,0.05488640164412379,0.19572170966339475,0,0,Crisis
1990-10-31,0.32682183745567045,0.009232765087100685,6.12970851792011e-07,0.5073674167556596,0.15657736773071748,3,3,Walking on Ice
1990-11-30,0.2994847701577345,0.007386212069680568,4.903989367606391e-07,0.5662020910559163,0.12692643631773198,3,3,Walking on Ice
1990-12-31,0.2177762320495211,0.005908969655774476,0.34875509802516724,0.21172165623739772,0.21583804403213946,2,3,Walking on Ice
1991-01-31,0.1742209856393939,0.0047271757246024945,0.5442013256323551,0.1697499182357955,0.10710059476785293,2,2,Steady State
1991-02-28,0.13937678851151494,0.0037817405796819964,0.1715734844976099,0.5995875106088479,0.08568047580234536,3,2,Steady State
1991-03-31,0.11154020243589918,0.003025396109444609,0.13725879035083824,0.21568933382447972,0.5324862772793382,4,2,Steady State
1991-04-30,0.08921010243781165,0.0024447847539718123,0.10980703071445508,0.1725404716232208,0.6259976104705405,4,4,Bull Market
1991-05-31,0.07136808183206751,0.0019419052507141077,0.5518410937175181,0.13803311544217375,0.23681580375752656,2,4,Bull Market
1991-06-30,0.500376078475765,0.022271911190455792,0.17747545287372893,0.11042607237087984,0.1894504850891705,0,0,Crisis
1991-07-31,0.1480889105507191,0.006029481182257926,0.6017779894149505,0.09254323078073395,0.1515603880713385,2,2,Steady State
1991-08-31,0.11847112852584633,0.004823585243371042,0.22031321791119743,0.07164537766157773,0.5847466906580074,4,2,Steady State
1991-09-30,0.09477690976795469,0.003859022741792298,0.17596619335608388,0.05731528016778952,0.6680825939663796,4,4,Bull Market
1991-10-31,0.07582152383409015,0.0030871301663263724,0.14127282572447755,0.04585224146231334,0.7339662788127926,4,4,Bull Market
1991-11-30,0.06068451278468689,0.4664424099308231,0.11273385119243558,0.03668178291957882,0.32345744317247566,1,4,Bull Market
1991-12-31,0.04853208104367344,0.10916945740416768,0.09018708095394849,0.493345426335663,0.25876595426254745,3,4,Bull Market
